number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,Ri,PFR_up_Flag,PFR_dn_Flag,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,PFR_up_Price,PFR_dn_Price,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run,Flexibility,RTPlanCommit
81,DPV50,834,0,1.574,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.574,0,1.574,0,1.574,0,1.574,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
82,DPV51,844,0,0.833,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.833,0,0.833,0,0.833,0,0.833,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
83,DPV52,845,0,0.671,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.671,0,0.671,0,0.671,0,0.671,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
84,DPV53,846,0,0.341,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.341,0,0.341,0,0.341,0,0.341,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
85,DPV54,917,0,3.983,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,3.983,0,3.983,0,3.983,0,3.983,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
86,DPV55,1230,0,1.341,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.341,0,1.341,0,1.341,0,1.341,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
87,DPV56,2030,0,7.533,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,7.533,0,7.533,0,7.533,0,7.533,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
88,DPV57,4250,0,1.792,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.792,0,1.792,0,1.792,0,1.792,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
89,DPV58,4430,0,2.387,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.387,0,2.387,0,2.387,0,2.387,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
90,DPV59,5340,0,2.45,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.45,0,2.45,0,2.45,0,2.45,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
91,DPV60,7290,0,1.596,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.596,0,1.596,0,1.596,0,1.596,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
92,DPV61,8340,0,1.858,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.858,0,1.858,0,1.858,0,1.858,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
